Bezirk Steglitz-Zehlendorf: Energieverbrauchsübersicht bezirklicher Liegenschaften 2017-2018-2019,,,,,,,
,,,,,,,
lfd. Nr.,Liegenschaft,Adresse,PLZ,Art der Wärme-versorgung,Wärmeverbrauch witterungsbereinigt [kWh],Stromverbrauch [kWh],Bemerkungen
,,,,,2019,2019,
1,Helene-Lange-Gesamtschule - ehem. Frh. von Hünefeld-GS,Lauenburgerstr.114,12169,Fernwärme,,40.796,Wärmeversorgung aus Nr. 20
2,Sachsenwald - Grundschule,Sachsenwaldstr. 20 - 21,12157,Fernwärme,496.817,87.262,
3,Dunant- Grundschule,Gritznerstr.19 - 23,12163,Fernwärme,761.209,0,Stromversorgung aus Nr. 31
4,Grundschule am Insulaner,Hanstedter Weg 11,12169,Fernwärme,584.117,71.7,
5,Athene - Grundschule,Curtiusstr. 37 - 41,12205,Fernwärme,688.484,171.876,versorgt mit Strom externe Kita
6,Alt Lankwitzer Grundschule,Schulstr.17-27,12247,Gas,469.799,50.9,
7,Paul Schneider Grundschule,Seydlitzstr. 30 - 40,12249,Gas,1.093.607,174.816,
8,Giesensdorfer  - Grundschule,Ostpreußendamm 63,12207,Gas,545.488,58.162,
9,Kronach - Grundschule,Moltkestr. 24-26,12203,Gas,1.103.538,164.559,
10,Grundschule unter den Kastanien,Kastanienstraße 7,12209,Gas,810.255,95.717,
11,Clemens-Brentano Grundschule,Kommandantenstr. 83-84,12205,Fernwärme,482.585,44.376,
12,Käthe Kruse Grundschule,Tietzenweg. 108,12203,Gas,397.83,67.318,
13,Grundschule am Königsgraben,Gallwitzallee 136 - 144,12249,Gas,660.163,78.46,
14,Ludwig-Bechstein-Grundschule,"Halbauer Weg, 25",12249,Gas,433.684,63.411,
15,Grundschule am Karpfenteich,Hildburghauserstr. 135-145,12209,Gas,515.6,79.914,
16,Mercator Grundschule,Mercatorweg 8 -10,12207,Fernwärme,656.631,50.729,
17,Grundschule an der Bäke,Haydnstr.11-15,12203,Fernwärme,510.325,134.293,
18,Johann-Thienemann Oberschule & Markus-Grundschule,Karl-Stieler Str. 10,12167,Fernwärme,359.336,54.272,
19,Nikolaus-Augustus-Otto Oberschule,Tietzenweg 101-113,12203,Gas,634.137,136.707,
20,Helene-Lange-Gesamtschule - ehem. Friedrich-Bayer-OS,Lauenburgerstr.110,12169,Fernwärme,1.386.976,81.398,versorgt mit Wärme: Nr. 1; 25
21,Max von Laue Oberschule,Dürerstr. 27,12203,Gas,615.489,79.2,
22,Schmidt-Ott-Oberschule,Plantagenstr.8-10,12169,Gas,342.158,28,
23,Beethoven -Oberschule,Barbarastr.9,12249,Gas,981.027,186.629,
24,Paulsen-Gymnasium,Gritznerstr. 57,12163,Gas,759.22,88.057,
25,Hermann Ehlers Oberschule,Elisenstr.3-4,12169,Fernwärme,1.329,87.144,Wärmeversorgung aus Nr. 20
26,Fichtenberg Oberschule & Rothenburg-Grundschule,Rothenburgstr. 16-18,12165,Fernwärme,919.101,172.532,
27,Lilienthal Oberschule,Ringstr.2-3,12203,Gas,982.804,139.673,
28,Goethe Oberschule,Drakestr.72-75,12205,Fernwärme,643.5,203.267,
29,Willi-Graf-Oberschule,Ostpreußendamm 166-167,12207,Gas,877.612,150.366,
30,Gymnasium Steglitz,Heesestr. 15,12169,Gas,714.247,125.134,
31,Kopernikus Oberschule,Lepsiusstr. 24-28,12163,Fernwärme,981.93,310.891,versorgt mit Strom: Nr. 3
32,Turnhalle der ehem. Kopernikus Oberschule,Ostpreußendamm 108 / Lippstädter Str .5,12207,Fernwärme,377.499,134.784,
33,Bröndby Oberschule,Dessauerstr. 63,12249,Gas,19.605,352.699,anteilige Wärmeversorgung aus Nr. 35
34,Friedrich-Drake-Grundschule,Drakestr.80,12205,Fernwärme,251.582,58.262,
35,Paul-Braune-Schule / Beethoven-OS-Filiale,Dessauerstraße 49-55,12249,Gas,1.869.414,86.828,versorgt mit Wärme Nr. 33
36,Johann-August-Zeune-Schule,Rothenburgstr.14,12165,Fernwärme,922.378,202.323,
37,Peter-Frankenfeld-Schule,Wedellstr. 26,12247,Gas,603.316,143.376,
38,Freilandlabor - Steglitz,Gärtnerstr. 14-16,12207,Nachtspeicher-heizung,21.842,1.405,
39,Nord-Grundschule,Potsdamer Str. 7,14163,Gas,824.709,0,Stromversorgung aus Nr. 184
40,Süd-Grundschule,Claszeile 56,14165,Gas,173.171,104.75,
41,Johannes-Tews-Grundschule,Wasgenst.50 //  Tewsstr.23/16a  // V-Luck-Str. 24,14129,Gas,296.641,239.247,anteilige Wärmeversorgung und Stromversorgung aus Nr. 57; versorgt mit Strom Nr. 57; 171
42,Erich-Kästner-Grundschule,Bachstelzenweg 2-8,14195,Gas,817.872,89.738,
43,Conrad-Grundschule,Schulstr. 4,14109,Gas,1.025.887,294.646,"versorgt mit Strom: Nr. 67; 71; 100; 101; 141 sowie Kita Alsenstraße (LEB ""Süd-West"")"
44,Mühlenau-Grundschule,Molsheimer Str. 7,14195,Fernwärme,684.217,99.217,
45,Zinnowald-Grundschule,Wilskistr.78-80,14163,Gas,1.022.749,908.542,"versorgt mit Strom: Nr. 51; 59; 102; 105; 173; 174 sowie Kita Wilskistraße 75 (LEB ""Süd-West"")"
46,Schweizerhof-Grundschule,Leo-Baeck-Str. 28-30,14167,Gas,18.991,0,anteilige Wärmeversorgung aus Nr. 72; Stromversorgung aus Nr. 61
47,Dreilinden-Oberschule,Dreilindenstr. 47-49,14109,Gas,1.239.865,215.817,versorgt mit Wärme und Strom Nr. 48
48,Dreilinden-Grundschule,Dreilindenstr. 65,14109,Gas,,0,Wärme- und Stromversorgung aus Nr. 47
49,Grundschule am Buschgraben,Ludwigsfelder Str. 43-47,14165,Gas,398.64,69.643,
50,Nikolaus-August-Otto-Oberschule - Filiale,"Am Rohrgarten 7, 9",14109,Gas,498.464,114.974,versorgt mit Strom Kita Am Rohrgarten (Freier Träger)
51,Leistikow-Turnhalle,Hartmannsweilerweg 65,14163,Gas,224.852,0,Stromversorgung aus Nr. 45
52,Schadow-Oberschule - ehem. Realschule,Beuckestr. 25,14163,Gas,1.764.212,0,versorgt mit Wärme Nr. 54
53,Gail S. Halvorsen Oberschule,Im Gehege 6-8,14195,Gas,818.77,76.35,
54,Schadow-Oberschule - ehem. Gymnasium,Beuckestr. 27-29,14163,Gas,47.284,307.376,versorgt mit Strom Nr. 52; 129; Wärmeversorgung aus Nr. 52
55,Droste-Hülshoff-Oberschule,Schönower Str. 8,14165,Gas,1.062.487,157.824,
56,Arndt-Oberschule,Königin-Luise-Str. 80-84/85,14195,Gas,1.143.823,172.359,
57,Werner-von-Siemens-Oberschule,Beskidenstr. 1; 1-5; 7,14129,Gas,1.441.982,564,anteilige Stromversorgung aus Nr. 41
58,Wilma-Rudolf-Gesamtschule,Am Hegewinkel 2a,14167,Fernwärme,1.295.736,323.259,
59,Pestalozzi-Sonderschule,Hartmannsweilerweg 47,14163,Gas,378.888,0,Stromversorgung aus Nr. 45
60,"Biesalski-Sonderschule, Quentin-Blake-Grundschule & Staatl. Europa-Schule",Hüttenweg 40,14167,Fernwärme,1.339.527,522.227,"versorgt mit Strom: Nr. 103; 104 sowie Kita Flanaganstraße (LEB ""Süd-West"")"
61,John-F.-Kennedy-Schule,Teltower Damm  87 - 93,14167,Gas,3.646.633,1.177.405,versorgt mit Strom Nr. 46; 72; Liegenschaft ist ab dem 01.01.2019 von BIM GmbH verwaltet
62,HORT Gallwitzallee 116,Gallwitzallee 116,12249,Gas,99.164,6.234,
63,HORT Langkofelweg 18,"Langkofelweg, 18",12247,Gas,120.722,20.728,
64,HORT Murtenerstraße 10,Murtenerstr.10a,12205,Gas,147.883,16.202,
65,HORT Treitschkestraße 28-30,Treitschkestr. 28-30,12163,Gas,200.882,19.761,
66,JFH - Schottenburg / Verkehrsgarten,Brittendorfer Weg 16+16b,14167,Fernwärme,233.012,37.074,
67,Kita Chausseestraße  27,Chausseestr. 27 - 28,14109,Gas,137.709,,Stromversorgung aus Nr. 43
68,HORT Claszeile 57,Claszeile 57,14165,Gas,311.317,19,
69,HORT Ihnestraße,Ihnestr. 74-76,14195,Fernwärme,94.818,29.019,
70,HORT Jaehnstraße,Jaehnstr. 14,14163,Gas,94.674,6.947,
71,Kita Rathaus Wannsee / JFH  Wannsee,Königstr. 42,14109,Gas,286.463,,Stromversorgung aus Nr. 43
72,Kita Reha-Zentrum,Teltower Damm 95-123,14163,Gas,1.894.610,,Stromversorgung aus Nr. 61; Liegenschaft ist ab dem 01.01.2019 von BIM GmbH verwaltet
73,Kita Zentrum am Kleeblatt,Von-der-Trenck-Str. 4,14165,Gas,227.366,37.25,
74,Haus der Jugend am Eichgarten 14,Am Eichgarten 14,12167,Fernwärme,131.497,17.607,
75,"Jugendfreizeitheim ""Haus der Jugend""",Argentinische Allee 28,14163,Gas,164.978,27.165,
76,Spielplatz Bergstraße 51,Bergstr. 51,12169,Gas,8.385,4.173,
77,Jugendfreizeitheim Flemingstraße 14b,Flemingstr. 14b,12163,Gas,212.224,15.499,
78,Jugendwerkheim Geraer Straße 43,Geraer Str. 43,12209,Gas,43.471,4.212,
79,Jugendfreizeitheim Jungfernstieg 19,Jungfernstieg 19,12207,Gas,173.173,17.819,
80,JAZ - Jugendausbildungszentrum,Lissabonallee 6,14129,Gas,2.120.467,395.392,
81,Jugendfreizeitheim Memlingstraße 14a,Memlingstr. 14a,12203,Gas,103.739,9.66,
82,KBH Ramsteinweg,Ramsteinweg 40,14165,Gas,101.277,9.383,
83,Jugendfreizeitheim Scheelestr/Osdorferstr.,Scheelestr. 145 / Osdorferstr. 90,12209,Fernwärme,163.806,,Stromversorgung aus Nr. 93
84,Jugendgesundheitsdienst Schwendenerstraße,Schwendenerstr. 39,14195,Gas,52.142,5.753,
85,"Jugendfreizeitheim ""Haus Teltow""",Teltower Damm 228,14167,Gas,106.06,33.518,
86,Kinderhaus Schlachtensee (Kinderheim Lindenhof),Quastheide 1/ Wasgensteig 51,14163,Gas,523.668,28.384,
87,Jugendheim Wichurastraße 59,Wichurastr. 59,12249,Gas,44.991,7.78,
88,Jugendwerkheim Königin-Luise-Straße 94,Königin-Luise-Str. 94,14195,Gas,554.748,22.581,versorgt mit Wärme Nr. 123; 124; 125
89,"""Haus Lankwitz"" Bethovenstraße 28-38",Beethovenstr. 28-38,12247,Gas,816.06,45.85,
90,Jugendheim Bergstr. 2,Bergstr. 2-4,14109,Gas,570.585,57.997,
91,Stadion Lichterfelde,Ostpreußendamm 3-17,12207,Gas,594.608,86.25,
92,Sportanlage Lessingstraße,Lessingstr. 5-8,12169,Gas,503.417,100.072,
93,Sportanlage Osdorferstraße,Osdorferstr. 53,12207,Fernwärme,254.953,301.668,"versorgt mit Strom Nr. 83 sowie Kita Reamurstraße aus Nr. dem LEB ""Süd-West"""
94,Sportanlage Malteserstraße,Malteserstr. 53,12249,Gas,80.052,17.837,
95,Sportanlage Leonorenstr./Edenkobenerweg,Leonorenstr. 37-39,12247,Fernwärme,945.375,476.144,
96,Sportanlage Schildhornstr./Kreuznacherstr.,Schildhornstr Str. 29-45,12163,Gas,113.436,43.729,
97,Rollschuhbahn Mühlenstraße,Mühlenstr. 70,12249,Gas,120.457,10.964,versorgt mit Wärme Nr. 144
98,Sportanlage Gallwitzallee,Geraerstr. 99,12249,Gas,114.364,29.752,
99,Sportanlage Wedellstraße,Wedellstr. 57,12249,Gas,751.373,77.313,
100,Gymnastikhalle Wannsee,Königstr. 42a,14109,Gas,70.44,,Stromversorgung aus Nr. 43
101,Sportplatz Wannsee & Alsenstraße,Chausseestr. 29,14109,Gas,126.413,11.108,Stromversorgung aus Nr. 43
102,Sporthalle Zehlendorf,Onkel-Tom-Str. 60,14169,Gas,304.394,,Stromversorgung aus Nr. 45
103,Cole Sports Center Hüttenweg,Hüttenweg 43,14195,Fernwärme,382.583,,Stromversorgung aus Nr. 60
104,Sporthalle Marshallstraße,Marshallstr. 3,14169,Fernwärme,221.131,,Stromversorgung aus Nr. 60
105,Ernst-Reuter-Sportfeld,Onkel-Tom-Str. 40 / Siebenendenweg,14169,Gas,468.269,29.019,anteilige Stromversorgung aus Nr. 45
106,Sportplatz Sachtlebenstraße,Sachtlebenstr. 36,14165,Gas,188.766,14.29,
107,"Seniorenfreizeitstätte ""Maria Rimkus""",Gallwitzallee 53,12249,Gas,40.277,14.302,
108,Seniorenfreizeitstätte Ostpreußendamm 52,Ostpreußendamm 52,12207,Gas,62.761,9.284,
109,"Seniorenfreizeitstätte Selerweg 18 - ""Club Steglitz""",Selerweg 18,12169,Gas,40.251,10.534,
110,Seniorenfreizeitstätte Bolchener Str. 5,Bolchener Str. 5,14167,Fernwärme,91.749,15.791,
111,"Seniorenfreizeitstätte ""Nord"" - Argentinische Allee 89",Argentinische Allee 87,14167,Gas,103.488,26.55,
112,"Seniorenfreizeitstätte ""Süd"" - Teltower Damm 226",Teltower Damm 226,14167,Gas,65.362,16.56,
113,"SWH ""Kurt Arnold"" Mudrastraße 1-11",Mudrastraße 1-11,12249,Fernwärme,,0,Liegenschaft ist zum 01.01.2018 verkauft
114,SWH Tautenburger Straße 34,Tautenburgerstr. 34,12249,Fernwärme,89.24,3.536,Liegenschaft ist zum 01.07.2019 verkauft
115,"SWH ""Haus Dreilinden"" - Dreilindenstraße 81-85",Dreilindenstr. 81-85,14109,Fernwärme,,0,Liegenschaft ist zum 01.01.2018 verkauft
116,Rathaus Steglitz,Schloßstr. 37,12163,Fernwärme,110.169,71.689,
117,Rathaus Lichterfelde,Goethestr. 9-13,12207,Gas,406.45,87.8,
118,Rathaus Zehlendorf,"Kirchstr. 1-3, alle Bauteile",14163,Gas,2.606.034,875.807,versorgt mit Strom: Nr. 119; 120; 134 sowie Musikschule Zehlendorf
119,Grundstücksamt - Martin-Buber-Straße 2,Martin-Buber-Str. 2,14163,Gas,67.393,,Stromversorgung aus Nr. 118
120,Standesamt Teltower Damm 10,Teltower Damm 10,14167,Gas,66.228,,Stromversorgung aus Nr. 118
121,Jugendamt-Regionalendienst - Hohenzollernstr. 11,Hohenzollernstr. 11,14163,Gas,88.429,8.063,
122,Gesundheitsamt Potsdamer Straße 8,Potsdamer Str. 8,14163,Gas,257.893,,Stromversorgung aus Nr. 184
123,Erziehungs-u. Familienberatung Königin-Luise-Str. 88,Königin-Luise-Str. 88,14195,Gas,,10.564,Wärmeversorgung aus Nr. 88
124,Vet.- u. Lebensmittelaufsicht Königin-Luise-Str. 92,Königin-Luise-Str. 92 (Föhrenweg),14195,Gas,,18.764,Wärmeversorgung aus Nr. 88
125,Vet.- u. Lebensmittelaufsicht Königin-Luise-Str. 96,Königin-Luise-Str. 96,14195,Gas,,16.668,Wärmeversorgung aus Nr. 88
126,Ratswaage-Frauenverein,Charlottenstr. 64,12247,Gas,17.186,998,
127,Gutshaus Steglitz,Wrangelstr. 1,12165,Fernwärme,106.131,47.2,
128,Stadtteilbibliothek Lankwitz,Bruchwitzstr. 37,12247,Gas,138.205,28.593,
129,Gottfried-Benn Bibliothek,Beuckestr. 1-3 // Nentershauser Platz 1,14163,Gas,176.155,0,Stromversorgung aus Nr. 54
130,Schwartzsche Villa,Grunewaldstr. 55,12165,Fernwärme,139.979,39.18,
131,Musikschule und Kunstamt,Grabertstr. 4,12169,Gas,54.42,13.736,
132,VHS - Haus der Volkshochschule,Onkel-Tom-Str. 14,14163,Gas,244.565,0,Stromversorgung aus Nr. 184
133,VHS Lehrstätte Rondellstraße 5,Rondellstr. 5,14163,Gas,91.348,16.38,
134,VHS Geschäftsstelle Markgrafenstraße 3,Markgrafenstr. 3,14163,Gas,83.32,0,Stromversorgung aus Nr. 118
135,Heimatverein/Kunstamt,Clayallee 355,14163,Gas,40.288,6.523,
136,Jugendverkehrsschule - Steglitz (Schulverkehrsgarten),Albrechtstraße 42,12167,Elektroheizung,10.072,10.984,
137,Verwaltungsgebäude - Ordnungsamt / Jugendamt,Unter den Eichen 1,12203,Fernwärme,116.399,38.5,
138,Sozialpsychiatrischer Dienst Bergstraße,Bergstr. 90,12169,Gas,141.109,18.453,
139,Fürsorgestelle Sonnebergerweg,Sonnebergerweg 28-29,12209,Gas,119.508,9.418,
140,Fürsorgestelle Mercatorweg,Mercatorweg 6,12207,Fernwärme,72.959,24.727,
141,Jugendgesundheitsdienst Charlottenstr. 10,Charlottenstr. 10,14109,Gas,84.977,,Stromversorgung aus Nr. 43
142,Sozialpsychiatrischer Dienst Königstr. 36,Königstr. 36,14163,Gas,108.995,12.543,
143,PUK Albrechtstraße 47,Albrechtstraße 47,12167,Nachtspeicher-heizung,48.711,6.243,
144,PUK Am Gemeindepark 1,Am Gemeindepark 1,12249,Gas,,28.372,Wärmeversorgung aus Nr. 97
145,PUK Bergstraße 50,Bergstr. 50,12169,Nachtspeicher-heizung,15.468,5.358,
146,PUK Goebenstraße 4,Goebenstr. 4,12167,Elektroheizung,3.029,3.448,
147,PUK Hindenburgdamm 26-28,Hindenburgdamm 26-28,12203,Nachtspeicher-heizung,78,0,
148,PUK Klingsorstraße 96 a,Klingsorstr. 96a,12203,Gas,20.092,977,
149,PUK Krahmerstraße 14,Krahmerstr. 14,12207,Gas,33.203,4.891,
150,PUK Ostpreußendamm 95 c,Ostpreußendamm 95 c,12207,Nachtspeicher-heizung,,3.437,ausser Betrieb / Frostfreihaltung
151,PUK Preysingstrraße 44,Preysingstr. 44,12249,Elektroheizung,,,ausser Betrieb / Frostfreihaltung
152,PUK Schildhornstraße 5 a,Schildhornstr. 5a,12163,Nachtspeicher-heizung,,,ausser Betrieb
153,PUK Schütte-Lanz-Straße 59,Schütte-Lanz-Str. 59,12209,Gas,88.804,5.327,
154,PUK Stubenrauchstraße 14 a,Stubenrauchstr. 14a,12203,Nachtspeicher-heizung,31.338,39.552,
155,PUK Wunsiedeler Weg 28,Wunsiedeler Weg 28 / 30,12247,Nachtspeicher-heizung,,,ausser Betrieb
156,Werkhof Dillgestraße / Charlottenstraße,Dillgestr. 1 - 5,12247,Gas,452.886,40.849,
157,Friedhof Bergstaße 38,Bergstraße 38 & Bismarkstraße 50,12169,Gas,338.385,45.539,
158,Friedhof Lange Straße 8,Lange Str. 8 / Kiesstraße 21,12209,Gas,57.347,5.861,
159,Friedhof Moltkestraße 41 a - 42,Moltkestr. 42 - 41a,12203,Nachtspeicher-heizung,18.017,9.714,
160,Parkfriedhof Thuner Platz 2 - 4,Thuner Platz 2-4,12205,Gas,398.943,57.987,
161,PUK Am Erlenbusch,Am Erlenbusch (ggü. Nr. 13 ),14169,Gas,37.96,7.406,
162,PUK Am Schlachtensee 72  - Paul-Ernst-Park,Am Schlachtensee 72,14129,Gas,41.675,3.892,
163,PUK Berlepschstraße 153 - Grünzug Düppel-Süd,Berlepschstr. 153,14165,Nachtspeicher-heizung,1.284,6.526,
164,PUK Bitterstr. 12a - Thielpark,Bitterstr. 12a,14195,Gas,10.25,6.449,
165,PUK Dahlemer Weg  - Heinrich-Laehr-Park,Heinrich-Laehr-Park,14167,Nachtspeicher-heizung,,257,ausser Betrieb / Frostfreihaltung
166,PUK Finkenstr. 13 - Finkenpark,Finkenstr. 13 (ggü)- Heinr.- Stahl- Weg,14195,Nachtspeicher-heizung,9.478,1.776,
167,PUK Hohentwielsteig - ehem. Baumschule,Hohentwielsteig / Potsd. Ch. 101,14163,Elektroheizung,,,ausser Betrieb
168,PUK Königstr. 35 - Glienicker Park,"Königstr. 35 e, d, b, c",14109,Gas,50.667,4.556,
169,PUK Königstr. 42 - Gymnastikhalle Wannsee,Königstr. 42a,14109,Gas,123,6.017,
170,PUK Leichhardtstraße - Dreipfuhlpark,Leichhardtstr. 45 (Dreipfuhlpark),14195,Öl,37.152,1.479,
171,PUK Krottnauer Straße,Krottnauer Str. 77,14129,Elektroheizung,,,Stromversorgung aus Nr. 41
172,PUK Nibelungenstraße 50,Nibelungenstr. 50 / Dreilindenstr. 81 Y,14109,Gas,26.521,11.266,
173,PUK Onkel-Tom-Str. 40 & 63 - Fischtalpark,Onkel-Tom-Str. 40 und 63,14169,Gas,40.8,,Stromversorgung aus Nr. 45
174,PUK Onkel-Tom-Str. 165 - 167 Y - Rodelbahn,Onkel-Tom-Str. 165,14169,Elektroheizung,,,Stromversorgung aus Nr. 45
175,PUK Rondellstraße - Gemeindewäldchen,Gemeindewäldchen / Potsdamerstraße,14163,Nachtspeicher-heizung,,385,ausser Betrieb / Frostfreihaltung
176,PUK Rötheweg 4 - Elvirasteig,Rötheweg 4,14129,Nachtspeicher-heizung,11.768,1.055,
177,PUK Sachtlebenstraße 55,Sachtlebenstr. 55,14165,Nachtspeicher-heizung,23.891,6.452,
178,PUK Sundgauer Str. 133,Sundgauer Str. 133,14167,Fernwärme,27.472,11.922,
179,PUK Thielallee 57 - Thielpark,Thielallee 57,14169,Gas,42.745,1.323,
180,PUK Niklasstraße 2 c - Lagerplatz,Niklasstr. 2c,14163,Gas,,21.029,
181,Freilandlabor - Zehlendorf - Sachtlebenstraße 32,Sachtlebenstraße 32,14165,Gas,52.665,640,
182,Friedhof Dahlem - Königin-Luise-Straße 57,Königin-Luise-Str. 57,14195,Nachtspeicher-heizung,10.345,756,
183,Friedhof Wannsee - Friedensstraße 8 / 10,Friedenstr. 8/10,14109,Gas,11.558,787,
184,Friedhof Zehlendorf - Onkel-Tom-Straße 26 / 30,Onkel-Tom-Str. 26 / 30,14165,Gas,46.484,275.263,versorgt mit Strom: Nr. 39; 123; 133
185,Waldfriedhof Dahlem - Hüttenweg 47,Hüttenweg 47,14195,Gas,104.552,8.001,
186,Waldfriedhof Zehlendorf - Wasgensteig 30,Wasgensteig 30,14129,Gas,323.614,54.881,
187,Berliner Str. 15 ,"Beleuchtung Kunststehle (U-
Bahneingang)",14169,,-,500,Beleuchtung
188,Berliner Str. 15a,Jeanne-Barez-Schule,14169,Gas,110034,11004,"Vermietet an ""Pankower Früchtchen"""
189,Berliner Str. 19,Jeanne-Barez-Schule,14169,Gas,181245,48400,Versorgung mehrerer Gebäude